Date,Open,High,Low,Close,Adj Close,Volume
2024-12-18,5076.48,5085.77,5008.57,5037.07,5037.07,168800000
2024-12-17,5046.70,5160.13,5016.73,5079.85,5079.85,372560000
2024-12-16,4829.63,5050.25,4826.14,5047.54,5047.54,387910000
2024-12-12,4796.17,4815.26,4776.14,4811.61,4811.61,104560000
2024-12-11,4794.11,4808.68,4768.88,4795.32,4795.32,145630000
2024-12-10,4849.80,4865.43,4772.87,4794.11,4794.11,270060000
2024-12-09,4856.14,4879.53,4831.77,4848.11,4848.11,299110000
2024-12-05,4853.64,4874.20,4810.35,4820.37,4820.37,314260000
2024-12-04,4848.19,4879.70,4835.37,4853.64,4853.64,317770000
2024-11-28,4805.07,4837.11,4796.66,4823.38,4823.38,201220000
2024-11-27,4828.83,4850.49,4803.20,4805.07,4805.07,251140000
2024-11-26,4765.79,4828.83,4762.63,4828.83,4828.83,264540000
2024-11-25,4723.64,4788.49,4723.14,4768.32,4768.32,217880000
2024-11-21,4759.83,4759.83,4694.44,4729.58,4729.58,227610000
2024-11-20,4731.72,4781.52,4731.03,4760.67,4760.67,228220000
2024-11-19,4712.66,4737.00,4712.20,4731.72,4731.72,183310000
2024-11-18,4739.76,4739.76,4703.76,4712.66,4712.66,185320000
2024-11-14,4731.97,4757.21,4721.53,4729.23,4729.23,361430000
2024-11-13,4700.56,4733.62,4677.33,4732.81,4732.81,370320000
2024-11-12,4652.43,4701.53,4649.12,4701.40,4701.40,298810000
2024-11-11,4638.99,4676.99,4638.97,4652.43,4652.43,230370000
2024-11-07,4617.13,4656.35,4617.13,4644.17,4644.17,206200000
2024-11-06,4594.53,4624.47,4594.53,4616.28,4616.28,168020000
2024-11-05,4586.89,4596.41,4570.58,4594.53,4594.53,168200000
2024-11-04,4621.37,4634.19,4579.75,4585.21,4585.21,92980000
2024-10-31,4604.52,4636.64,4584.27,4591.05,4591.05,157210000
2024-10-30,4582.52,4614.89,4557.87,4604.52,4604.52,187610000
2024-10-29,4537.76,4583.64,4537.73,4583.64,4583.64,233290000
2024-10-28,4479.19,4545.59,4475.43,4536.92,4536.92,138030000
2024-10-24,4465.04,4482.09,4461.62,4464.00,4464.00,88350000
2024-10-23,4466.50,4482.14,4456.85,4464.19,4464.19,192700000
2024-10-22,4477.96,4479.97,4449.40,4467.35,4467.35,122700000
2024-10-21,4467.56,4481.24,4454.63,4477.96,4477.96,105090000
2024-10-17,4485.30,4486.75,4457.16,4458.67,4458.67,155860000
2024-10-16,4469.57,4493.70,4468.64,4485.30,4485.30,90820000
2024-10-15,4455.02,4474.51,4448.85,4469.57,4469.57,101970000
2024-10-14,4439.99,4469.29,4438.01,4455.02,4455.02,103530000
2024-10-10,4421.49,4439.74,4415.75,4437.56,4437.56,103760000
2024-10-09,4429.84,4437.52,4418.02,4422.33,4422.33,106300000
2024-10-08,4396.74,4430.91,4396.74,4429.00,4429.00,112790000
2024-10-07,4405.85,4405.85,4365.89,4395.05,4395.05,150750000
2024-10-03,4438.58,4451.15,4391.25,4398.24,4398.24,133010000
2024-10-02,4473.06,4473.06,4414.38,4440.27,4440.27,171990000
2024-10-01,4503.48,4503.48,4456.43,4477.27,4477.27,121020000
2024-09-30,4520.42,4523.77,4482.79,4503.48,4503.48,177760000
2024-09-26,4488.69,4527.44,4485.31,4526.61,4526.61,230080000
2024-09-25,4461.46,4489.47,4460.75,4488.69,4488.69,193010000
2024-09-24,4433.22,4465.24,4419.35,4461.46,4461.46,87610000
2024-09-23,4437.21,4467.74,4422.28,4434.06,4434.06,124010000
2024-09-19,4390.20,4429.61,4390.20,4421.52,4421.52,158620000
2024-09-18,4395.20,4396.42,4372.39,4390.20,4390.20,169420000
2024-09-17,4396.06,4407.58,4390.24,4395.20,4395.20,127130000
2024-09-16,4380.49,4407.46,4378.59,4395.24,4395.24,166620000
2024-09-12,4346.42,4379.05,4345.63,4364.87,4364.87,75580000
2024-09-11,4386.66,4388.48,4339.30,4346.42,4346.42,154490000
2024-09-10,4360.78,4395.08,4360.23,4387.48,4387.48,111040000
2024-09-09,4372.05,4374.20,4353.68,4359.12,4359.12,114070000
2024-09-05,4364.76,4383.14,4347.02,4371.04,4371.04,153910000
2024-09-04,4369.83,4370.88,4337.28,4364.76,4364.76,161330000
2024-09-03,4356.77,4374.28,4356.31,4369.83,4369.83,237530000
2024-09-02,4325.45,4359.58,4321.25,4356.77,4356.77,145960000
2024-08-29,4324.20,4334.51,4302.71,4334.26,4334.26,125990000
2024-08-28,4344.04,4361.47,4319.84,4324.20,4324.20,198800000
2024-08-27,4324.75,4351.14,4317.75,4343.22,4343.22,208290000
2024-08-26,4292.67,4324.78,4291.82,4324.75,4324.75,155270000
2024-08-22,4295.73,4313.82,4283.77,4309.08,4309.08,328730000
